Date,diff_close
1965/1/6,0.497284146
1965/1/7,0.810010493
1965/1/8,0.949750073
1965/1/12,0.16388427
1965/1/13,-0.534587535
1965/1/14,0.609059694
1965/1/18,-1.391564293
1965/1/19,-0.105434899
1965/1/20,-0.114992886
1965/1/21,0.124438336
1965/1/22,-0.681599556
1965/1/25,-0.964351034
1965/1/26,-0.133713051
1965/1/27,0.810767248
1965/1/28,-0.878904551
1965/1/29,-0.396063218
1965/2/1,0.045063459
1965/2/2,-0.328819522
1965/2/3,0.746352469
1965/2/4,1.081440629
1965/2/5,0.157611147
1965/2/8,-0.369465238
1965/2/9,-0.577550463
1965/2/10,-0.245577153
1965/2/12,0.744449492
1965/2/15,-0.673194419
1965/2/16,-0.199477736
1965/2/17,-0.799496558
1965/2/18,0.349412943
1965/2/19,-0.327588118
1965/2/22,-1.017812626
1965/2/23,-0.100471747
1965/2/24,-0.367627097
1965/2/25,-0.196239923
1965/2/26,-0.299617073
1965/3/1,-0.544727945
1965/3/2,-0.327099358
1965/3/3,0.438101817
1965/3/4,0.430434855
1965/3/5,-0.279857855
1965/3/8,-1.554632625
1965/3/9,-1.059339091
1965/3/10,-0.432873615
1965/3/11,-0.745090947
1965/3/12,0.959633771
1965/3/15,1.068380339
1965/3/16,-0.613580727
1965/3/17,-0.459896947
1965/3/18,0.584264646
1965/3/19,-0.577464742
1965/3/23,-0.690370059
1965/3/24,-0.923940228
1965/3/25,0.001719617
1965/3/26,0.491420577
1965/3/29,2.213090913
1965/3/30,-4.20831645
1965/3/31,-0.61868732
1965/4/1,-0.459227392
1965/4/2,0.087759245
1965/4/5,-0.36573131
1965/4/6,2.627809528
1965/4/7,0.483066742
1965/4/8,1.97522663
1965/4/9,-0.21576857
1965/4/12,-1.499445342
1965/4/13,-1.175407671
1965/4/14,-0.626632233
1965/4/15,1.692778171
1965/4/16,-1.170608218
1965/4/19,-1.057641926
1965/4/20,-0.437522058
1965/4/21,-1.00488701
1965/4/22,2.180792537
1965/4/23,-0.987781547
1965/4/26,0.958938282
1965/4/27,0.51083101
1965/4/28,1.807790503
1965/4/30,0.475355994
1965/5/6,-1.12216248
1965/5/7,-0.075662259
1965/5/10,-0.011182601
1965/5/11,0.117779645
1965/5/12,-0.577324777
1965/5/13,0.232188809
1965/5/14,-0.812876592
1965/5/17,-0.127853046
1965/5/18,-0.152422457
1965/5/19,-0.564673524
1965/5/20,0.038557156
1965/5/21,0.127846969
1965/5/24,-0.796020248
1965/5/25,-0.779300381
1965/5/26,-0.63946296
1965/5/27,-1.501838667
1965/5/28,-1.786063571
1965/5/31,1.385624007
1965/6/1,-0.342552125
