Date,diff_close,ave_5day,ave_25day,ave_75day,ave_200day
1965/1/6,0.497284146,,,,
1965/1/7,0.810010493,,,,
1965/1/8,0.949750073,,,,
1965/1/12,0.16388427,,,,
1965/1/13,-0.534587535,0.377268289,,,
1965/1/14,0.609059694,0.399623399,,,
1965/1/18,-1.391564293,-0.040691558,,,
1965/1/19,-0.105434899,-0.251728553,,,
1965/1/20,-0.114992886,-0.307503984,,,
1965/1/21,0.124438336,-0.17569881,,,
1965/1/22,-0.681599556,-0.43383066,,,
1965/1/25,-0.964351034,-0.348388008,,,
1965/1/26,-0.133713051,-0.354043638,,,
1965/1/27,0.810767248,-0.168891611,,,
1965/1/28,-0.878904551,-0.369560189,,,
1965/1/29,-0.396063218,-0.312452921,,,
1965/2/1,0.045063459,-0.110570023,,,
1965/2/2,-0.328819522,-0.149591317,,,
1965/2/3,0.746352469,-0.162474273,,,
1965/2/4,1.081440629,0.229594763,,,
1965/2/5,0.157611147,0.340329636,,,
1965/2/8,-0.369465238,0.257423897,,,
1965/2/9,-0.577550463,0.207677709,,,
1965/2/10,-0.245577153,0.009291784,,,
1965/2/12,0.744449492,-0.058106443,0.000699522,,
1965/2/15,-0.673194419,-0.224267556,-0.04611962,,
1965/2/16,-0.199477736,-0.190270056,-0.086499149,,
1965/2/17,-0.799496558,-0.234659275,-0.156469015,,
1965/2/18,0.349412943,-0.115661256,-0.149047868,,
1965/2/19,-0.327588118,-0.330068778,-0.140767891,,
1965/2/22,-1.017812626,-0.398992419,-0.205842784,,
1965/2/23,-0.100471747,-0.379191221,-0.154199082,,
1965/2/24,-0.367627097,-0.292817329,-0.16468677,,
1965/2/25,-0.196239923,-0.401947902,-0.167936651,,
1965/2/26,-0.299617073,-0.396353693,-0.184898868,,
1965/3/1,-0.544727945,-0.301736757,-0.179424003,,
1965/3/2,-0.327099358,-0.347062279,-0.153933936,,
1965/3/3,0.438101817,-0.185916496,-0.131061342,,
1965/3/4,0.430434855,-0.060581541,-0.146274637,,
1965/3/5,-0.279857855,-0.056629697,-0.12231277,,
1965/3/8,-1.554632625,-0.258610633,-0.168655546,,
1965/3/9,-1.059339091,-0.40505858,-0.212831648,,
1965/3/10,-0.432873615,-0.579253666,-0.216993812,,
1965/3/11,-0.745090947,-0.814358827,-0.276651548,,
1965/3/12,0.959633771,-0.566460501,-0.281523822,,
1965/3/15,1.068380339,-0.041857909,-0.245093055,,
1965/3/16,-0.613580727,0.047293764,-0.254857674,,
1965/3/17,-0.459896947,0.041889098,-0.250151534,,
1965/3/18,0.584264646,0.307760216,-0.216957862,,
1965/3/19,-0.577464742,0.000340514,-0.269834431,,
